state,last_action_name,OrganizationalEntity,TaskNumber,Overspent,Cost Type_0,Project_0,ProjectNumber,ActivityNumber,travel permit number,BudgetNumber,DeclarationNumber_0,TotalDeclared,RequestedAmount_0,RequestedBudget,OverspentAmount,execution_time_minutes,initial
22,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,medium,medium,low,low,medium,high,high,high,low,high,False
23,Request Payment,organizational unit 65458,task 427,False,,,medium,high,low,medium,medium,medium,medium,medium,low,medium,False
24,Payment Handled,organizational unit 65458,task 427,False,,,medium,high,low,medium,medium,medium,medium,medium,low,medium,False
25,Start trip,organizational unit 65458,,False,,,low,medium,low,medium,medium,low,low,low,low,high,False
26,End trip,organizational unit 65458,,False,,,low,medium,low,medium,medium,low,low,low,low,high,False
27,Send Reminder,organizational unit 65458,,False,,,low,medium,low,medium,medium,low,low,low,low,high,False
28,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,medium,high,low,high,medium,medium,medium,medium,medium,low,False
29,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,False
30,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,low,low,low,low,medium,medium,medium,medium,medium,medium,False
31,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,high,low,high,medium,medium,medium,medium,low,low,False
32,archive_application,organizational unit 65458,,False,,,low,medium,low,medium,medium,low,low,low,low,high,False
33,Declaration REJECTED by ADMINISTRATION,organizational unit 65458,,False,,,low,low,low,low,low,medium,low,low,high,medium,False
34,Declaration REJECTED by EMPLOYEE,organizational unit 65458,,False,,,low,low,low,low,low,medium,medium,low,high,medium,False
35,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,low,medium,low,medium,medium,medium,medium,medium,high,medium,False
36,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,low,medium,low,medium,medium,medium,medium,medium,medium,medium,False
37,Permit SAVED by EMPLOYEE,organizational unit 65458,,False,,,medium,high,low,medium,medium,low,low,medium,low,high,False
38,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,low,low,low,medium,low,high,low,high,low,medium,False
39,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,low,low,low,medium,low,high,low,high,low,medium,False
40,Permit REJECTED by SUPERVISOR,organizational unit 65466,task 427,False,,,low,high,low,low,low,low,medium,low,medium,high,False
41,Permit REJECTED by EMPLOYEE,organizational unit 65466,task 427,False,,,low,low,low,low,low,low,low,low,high,high,False
42,Permit REJECTED by BUDGET OWNER,organizational unit 65480,task 427,False,,,low,high,low,high,low,low,low,low,low,low,False
43,Request For Payment SAVED by EMPLOYEE,organizational unit 65454,,True,0.0,project 503,low,high,low,medium,medium,high,high,medium,high,low,False
44,Send Reminder,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,low,high,False
45,Declaration REJECTED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,high,low,low,low,medium,medium,medium,low,low,False
46,Declaration REJECTED by BUDGET OWNER,organizational unit 65460,,False,,,low,high,low,low,low,medium,low,medium,low,medium,False
47,Permit REJECTED by SUPERVISOR,organizational unit 65458,,False,,,low,low,low,high,medium,low,low,low,low,low,False
48,Permit REJECTED by EMPLOYEE,organizational unit 65458,,False,,,low,low,low,medium,medium,low,low,medium,low,medium,False
49,Permit REJECTED by ADMINISTRATION,organizational unit 65456,,False,,,low,low,low,low,medium,low,low,medium,low,medium,False
50,Permit REJECTED by ADMINISTRATION,organizational unit 65466,task 427,False,,,low,low,low,low,low,medium,low,low,high,high,False
51,Declaration SAVED by EMPLOYEE,organizational unit 65458,,False,,,low,medium,low,high,high,low,low,low,low,medium,False
52,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,low,medium,low,high,low,high,low,high,low,low,False
53,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,low,medium,low,high,low,high,low,high,low,low,False
54,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,low,medium,low,high,high,low,low,high,low,high,False
55,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,low,medium,low,high,high,low,low,high,low,high,False
56,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,medium,high,low,low,medium,high,high,high,low,medium,False
57,Request For Payment REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,medium,high,low,low,medium,high,high,high,low,medium,False
58,Permit REJECTED by BUDGET OWNER,organizational unit 65458,,False,,,low,low,low,high,medium,low,low,medium,low,high,False
59,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,True,0.0,project 503,high,high,low,high,high,high,high,high,high,medium,False
60,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,True,0.0,project 503,high,high,low,high,high,high,high,high,high,medium,False
61,Permit FOR_APPROVAL by SUPERVISOR,organizational unit 65457,task 427,False,,,high,high,low,low,medium,low,low,low,low,high,False
62,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,low,high,low,low,medium,low,medium,low,high,low,False
63,Declaration REJECTED by SUPERVISOR,organizational unit 65457,,False,0.0,project 503,low,low,low,low,high,medium,medium,medium,low,high,False
64,Declaration SAVED by EMPLOYEE,organizational unit 65459,task 427,False,,,low,high,low,high,low,medium,low,high,low,low,False
65,Request For Payment APPROVED by SUPERVISOR,organizational unit 65464,task 427,False,0.0,project 503,high,high,low,low,medium,high,high,high,low,high,False
66,Request For Payment FINAL_APPROVED by DIRECTOR,organizational unit 65464,task 427,False,0.0,project 503,high,high,low,low,medium,high,high,high,low,high,False
67,Request For Payment REJECTED by SUPERVISOR,organizational unit 65464,task 427,False,0.0,project 503,medium,high,low,high,medium,medium,medium,high,low,medium,False
68,start,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,high,medium,medium,high,True
69,Permit SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,medium,high,high,low,high,False
70,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,medium,high,high,low,high,False
71,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,high,high,high,high,high,False
72,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,low,low,low,medium,medium,high,high,high,high,high,False
73,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,medium,medium,high,high,False
74,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,high,high,high,high,high,False
75,Request Payment,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,high,high,high,high,high,False
76,Payment Handled,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,high,high,high,high,high,False
77,Start trip,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,high,medium,medium,high,False
78,End trip,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,high,medium,medium,high,False
79,Declaration SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,True,0.0,project 503,low,low,medium,medium,medium,medium,high,high,high,medium,False
80,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,low,low,medium,medium,medium,medium,high,high,high,high,False
81,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,True,0.0,project 503,low,low,medium,medium,medium,medium,high,high,high,high,False
82,archive_application,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,high,medium,medium,high,False
83,Permit APPROVED by SUPERVISOR,organizational unit 65459,task 427,False,0.0,project 503,low,low,low,high,medium,high,high,high,low,high,False
84,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65459,task 427,False,0.0,project 503,low,low,low,high,medium,high,high,high,low,high,False
85,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,medium,high,high,high,high,False
86,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65456,task 427,True,0.0,project 503,low,low,low,low,medium,high,high,high,high,high,False
87,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,low,low,low,medium,medium,high,high,high,high,medium,False
88,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,True,0.0,project 503,low,low,low,medium,medium,high,high,high,medium,medium,False
89,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,True,0.0,project 503,low,low,medium,medium,medium,high,high,high,high,high,False
90,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65456,task 427,True,0.0,project 503,low,low,medium,medium,medium,high,high,high,medium,high,False
91,Request For Payment REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,low,low,medium,medium,medium,high,high,high,medium,high,False
92,start,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,True
93,Permit SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
94,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
95,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,medium,low,medium,low,low,medium,low,medium,low,False
96,Start trip,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
97,End trip,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
98,Declaration SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,,,low,low,low,medium,low,low,medium,medium,medium,low,False
99,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
100,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,low,low,low,medium,low,low,medium,low,medium,low,False
101,Request Payment,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
102,Payment Handled,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
103,archive_application,organizational unit 65456,task 427,False,,,medium,low,low,medium,low,low,medium,low,medium,low,False
104,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,medium,low,low,low,low,low,medium,medium,low,low,False
105,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,medium,medium,low,medium,False
106,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,low,low,high,low,high,low,high,low,medium,False
107,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,medium,low,low,high,low,high,low,high,low,medium,False
108,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,,,low,low,low,low,low,medium,medium,medium,medium,medium,False
109,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,,,low,low,low,low,low,medium,medium,medium,medium,medium,False
110,Permit REJECTED by SUPERVISOR,organizational unit 65456,,False,0.0,project 503,medium,low,low,low,medium,high,high,high,low,high,False
111,Permit REJECTED by EMPLOYEE,organizational unit 65458,,False,0.0,project 503,low,low,medium,medium,medium,medium,high,high,low,high,False
112,Request For Payment APPROVED by SUPERVISOR,organizational unit 65458,,True,0.0,project 503,low,high,low,high,medium,high,high,high,low,high,False
113,Request For Payment FINAL_APPROVED by DIRECTOR,organizational unit 65458,,True,0.0,project 503,low,high,low,high,medium,high,high,high,low,high,False
114,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,,False,0.0,project 503,low,high,low,low,medium,high,high,high,low,medium,False
115,Send Reminder,organizational unit 65458,,False,,,low,low,low,low,low,low,low,low,medium,high,False
116,Send Reminder,organizational unit 65454,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,medium,medium,low,high,False
117,Declaration REJECTED by SUPERVISOR,organizational unit 65454,,False,0.0,project 503,low,high,low,high,medium,medium,medium,medium,high,high,False
118,Declaration SAVED by EMPLOYEE,organizational unit 65455,,False,,,low,high,low,low,low,low,low,low,medium,low,False
119,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,high,low,low,high,low,high,low,high,high,medium,False
120,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,high,low,low,high,low,high,low,high,high,medium,False
121,Declaration REJECTED by BUDGET OWNER,organizational unit 65466,,False,,,low,high,low,low,low,medium,medium,medium,low,medium,False
122,Permit REJECTED by SUPERVISOR,organizational unit 65456,,False,,,low,low,low,medium,low,low,low,medium,medium,medium,False
123,Permit REJECTED by EMPLOYEE,organizational unit 65454,,False,,,low,low,low,medium,low,low,low,low,high,low,False
124,Request For Payment SAVED by EMPLOYEE,organizational unit 65464,,False,0.0,project 503,low,high,low,high,medium,high,medium,medium,low,medium,False
125,Declaration REJECTED by SUPERVISOR,organizational unit 65455,task 427,False,,,medium,high,low,high,low,low,medium,low,low,low,False
126,Permit REJECTED by BUDGET OWNER,organizational unit 65454,,False,,,medium,low,low,low,low,low,low,low,high,low,False
127,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,0.0,project 503,high,high,low,high,medium,high,high,high,low,high,False
128,Declaration REJECTED by DIRECTOR,organizational unit 65458,task 427,False,0.0,project 503,high,high,low,high,medium,high,high,high,low,high,False
129,Request For Payment REJECTED by SUPERVISOR,organizational unit 65454,,False,0.0,project 503,low,low,low,low,medium,high,high,high,low,medium,False
130,Permit REJECTED by ADMINISTRATION,organizational unit 65457,task 427,False,0.0,project 503,medium,high,medium,high,medium,medium,high,medium,high,high,False
131,Declaration SAVED by EMPLOYEE,organizational unit 65454,,False,0.0,,low,high,medium,high,medium,medium,medium,low,medium,low,False
132,Permit REJECTED by ADMINISTRATION,organizational unit 65454,,True,,,low,high,low,low,low,medium,medium,low,high,low,False
133,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65456,task 427,False,0.0,project 503,high,high,medium,high,medium,high,high,high,low,medium,False
134,Request For Payment REJECTED by BUDGET OWNER,organizational unit 65454,task 427,False,0.0,project 503,high,high,medium,high,medium,medium,medium,low,low,low,False
135,Permit REJECTED by BUDGET OWNER,organizational unit 65458,,False,0.0,project 503,low,low,medium,low,medium,medium,high,medium,high,high,False
136,start,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,True
137,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,False
138,Permit APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,low,medium,low,medium,low,False
139,Permit REJECTED by SUPERVISOR,organizational unit 65456,task 427,False,,,high,high,medium,high,low,medium,medium,medium,medium,medium,False
140,Permit REJECTED by EMPLOYEE,organizational unit 65456,,False,,,low,low,medium,high,low,medium,medium,medium,low,low,False
141,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,low,medium,low,medium,low,False
142,Start trip,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,False
143,End trip,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,False
144,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,medium,medium,medium,medium,low,False
145,Declaration APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,medium,medium,medium,medium,low,False
146,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,low,medium,low,medium,low,False
147,Request Payment,organizational unit 65458,task 427,False,,,medium,low,medium,low,low,low,medium,low,medium,low,False
148,Payment Handled,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,False
149,archive_application,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,low,medium,low,medium,low,False
150,Permit APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,medium,medium,medium,medium,low,False
151,Declaration APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,,,medium,medium,medium,low,low,medium,medium,medium,low,low,False
152,Declaration REJECTED by ADMINISTRATION,organizational unit 65458,task 427,False,,,low,low,medium,low,low,medium,medium,medium,medium,medium,False
153,Declaration REJECTED by EMPLOYEE,organizational unit 65458,task 427,False,,,low,low,medium,low,low,medium,medium,medium,medium,medium,False
154,Permit APPROVED by SUPERVISOR,organizational unit 65458,,False,,,medium,medium,medium,medium,low,high,low,high,low,medium,False
155,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,,False,,,medium,medium,medium,medium,low,high,low,high,low,medium,False
156,Send Reminder,organizational unit 65458,,False,,,medium,medium,medium,low,low,low,low,low,low,high,False
157,Declaration REJECTED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,medium,medium,medium,medium,low,False
158,Declaration APPROVED by SUPERVISOR,organizational unit 65458,,False,,,medium,high,medium,high,low,high,low,high,medium,medium,False
159,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,,False,,,medium,high,medium,high,low,high,low,high,medium,medium,False
160,Permit REJECTED by ADMINISTRATION,organizational unit 65454,,False,,,low,high,medium,high,low,low,medium,low,low,low,False
161,Declaration REJECTED by BUDGET OWNER,organizational unit 65458,,False,,,low,low,medium,medium,low,medium,low,high,low,high,False
162,Permit REJECTED by BUDGET OWNER,organizational unit 65458,,False,,,low,low,medium,low,low,medium,medium,high,low,low,False
163,Permit REJECTED by DIRECTOR,organizational unit 65464,task 427,False,,,low,high,low,low,medium,low,low,high,low,low,False
164,Permit REJECTED by MISSING,organizational unit 65455,,False,,,low,high,low,high,medium,low,low,low,low,medium,False
165,Permit FOR_APPROVAL by ADMINISTRATION,organizational unit 65461,,False,,,low,high,low,high,medium,low,low,low,high,high,False
166,start,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,True
167,Permit SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
168,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
169,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
170,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
171,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,high,high,medium,False
172,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,high,high,medium,high,medium,False
173,Request Payment,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,high,high,medium,high,medium,False
174,Payment Handled,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,high,high,medium,high,medium,False
175,Start trip,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
176,End trip,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
177,Send Reminder,organizational unit 65456,task 427,False,0.0,project 503,medium,medium,medium,low,medium,high,high,medium,high,high,False
178,Declaration SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,medium,high,medium,medium,medium,False
179,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,medium,high,medium,medium,medium,False
180,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,medium,high,medium,medium,medium,False
181,archive_application,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,high,high,medium,high,medium,False
182,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,high,low,medium,low,medium,high,high,medium,high,medium,False
183,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,high,low,medium,low,medium,high,high,medium,high,medium,False
184,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,high,low,medium,low,medium,medium,medium,medium,high,medium,False
185,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,low,medium,medium,high,medium,low,medium,False
186,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,high,medium,medium,medium,medium,medium,high,medium,low,medium,False
187,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,low,medium,high,high,medium,high,medium,False
188,Request For Payment REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,low,medium,high,high,medium,high,medium,False
189,Declaration SAVED by EMPLOYEE,organizational unit 65454,,False,,,low,low,medium,low,low,low,medium,low,medium,low,False
190,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,0.0,project 503,medium,medium,medium,high,medium,high,high,high,low,high,False
191,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,0.0,project 503,medium,medium,medium,high,medium,high,high,high,low,high,False
192,Request For Payment APPROVED by SUPERVISOR,organizational unit 65459,,False,0.0,project 503,low,low,medium,low,medium,high,high,high,low,high,False
193,Request For Payment FINAL_APPROVED by DIRECTOR,organizational unit 65459,,False,0.0,project 503,low,low,medium,low,medium,high,high,high,low,high,False
194,Declaration APPROVED by SUPERVISOR,organizational unit 65459,,True,0.0,project 503,low,high,medium,low,medium,high,high,high,high,medium,False
195,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65459,,True,0.0,project 503,low,high,medium,low,medium,high,high,high,high,medium,False
196,Permit REJECTED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,high,high,medium,low,medium,low,medium,low,high,medium,False
197,Permit REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,medium,low,medium,medium,medium,medium,medium,medium,medium,high,False
198,Permit REJECTED by BUDGET OWNER,organizational unit 65464,,False,0.0,project 503,low,low,medium,high,medium,low,low,low,low,high,False
199,Permit REJECTED by ADMINISTRATION,organizational unit 65454,task 427,False,0.0,project 503,high,low,medium,low,medium,medium,high,medium,medium,high,False
200,Request For Payment REJECTED by BUDGET OWNER,organizational unit 65464,task 427,False,0.0,project 503,low,high,medium,low,medium,high,high,medium,high,high,False
201,start,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,True
202,Permit SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
203,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
204,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
205,Start trip,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
206,End trip,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
207,Declaration SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
208,Declaration REJECTED by ADMINISTRATION,organizational unit 65454,task 427,False,,,medium,medium,medium,low,low,medium,medium,medium,medium,low,False
209,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,medium,medium,low,low,medium,medium,medium,medium,low,False
210,Declaration APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
211,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
212,Request Payment,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
213,Payment Handled,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
214,archive_application,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,medium,low,False
215,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,medium,medium,medium,medium,low,low,medium,low,high,low,False
